*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=Untitled Sketch 5
*Date=12:26:47
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
113;;;6.56715;-9.22216;-90;Bottom;TXT64
114;;THT;63.1407;-80.3392;180;Bottom;  
115;;;23.1357;-6.27;0;Bottom;TXT36
116;;;63.1407;-25.7292;90;Bottom;  
117;;;15.0924;-54.6288;0;Bottom;TXT47
118;;;63.1407;-66.3692;90;Bottom; 
119;;;22.783;-54.7981;0;Bottom;TXT51
120;;;65.836;-74.2389;-90;Bottom;TXT6
121;;;42.2563;-59.9487;0;Bottom;TXT32
122;;;11.7493;-66.5103;0;Bottom;TXT39
123;;THT;18.6907;-66.3692;-90;Bottom;  
124;;;33.2414;-22.7833;0;Bottom;TXT53
125;;;68.2206;-89.2292;0;Bottom;Hole7
126;;;63.1407;-20.6492;90;Bottom; 
127;;;62.7832;-1.46281;0;Bottom;TXT9
128;;;36.9738;-69.4673;0;Bottom;TXT39
129;;;23.3051;-6.34055;0;Bottom;TXT36
130;;THT;18.6907;-63.8292;-90;Bottom; 
131;;;21.4658;-2.93977;0;Bottom;TXT36
132;;;30.2618;-46.2327;0;Bottom;TXT55
133;;;20.6192;-3.02924;0;Top;TXT36
